Name,Ergebnis vor Steuern,Fixkosten,Jahr,Marketing & Trade,Phase,Sonstige variable Kosten,Szenario,Umsatz gesamt,Verkaufte Einheiten gesamt,Wareneinsatz gesamt (COGS),Ø Umsatz pro Einheit (gesamt)
2026-06 – Realistisch,1689,1000,1,1386,Aufbau,600,Realistisch,7700,5500,3025,"1,4"
2026-02 – Realistisch,693,1000,1,882,Launch,400,Realistisch,4900,3500,1925,"1,4"
2026-09 – Realistisch,2187,1000,1,1638,Aufbau,700,Realistisch,9100,6500,3575,"1,4"
2026-05 – Realistisch,1440,1000,1,1260,Aufbau,550,Realistisch,7000,5000,2750,"1,4"
2026-11 – Realistisch,2436,1000,1,1764,Aufbau,750,Realistisch,9800,7000,3850,"1,4"
2026-04 – Realistisch,1191,1000,1,1134,Aufbau,500,Realistisch,6300,4500,2475,"1,4"
2026-07 – Realistisch,1938,1000,1,1512,Aufbau,650,Realistisch,8400,6000,3300,"1,4"
2026-01 – Realistisch,444,1000,1,756,Launch,350,Realistisch,4200,3000,1650,"1,4"
2026-12 – Realistisch,2685,1000,1,1890,Aufbau,800,Realistisch,10500,7500,4125,"1,4"
2026-10 – Realistisch,2436,1000,1,1764,Aufbau,750,Realistisch,9800,7000,3850,"1,4"
2026-03 – Realistisch,942,1000,1,1008,Aufbau,450,Realistisch,5600,4000,2200,"1,4"
2026-08 – Realistisch,2187,1000,1,1638,Aufbau,700,Realistisch,9100,6500,3575,"1,4"
